source,target,length
485,486,6.77
485,521,5.06
485,514,9.4
485,533,8.26
486,521,7.16
486,487,6.89
487,515,6.06
488,516,6.0
489,530,10.07
490,506,3.41
491,491,4.0
491,551,11.06
494,526,17.49
495,526,9.89
496,496,3.41
496,513,5.24
497,507,9.77
498,511,9.89
498,499,7.61
498,564,14.32
498,543,6.41
499,522,6.06
500,501,15.43
500,505,7.47
500,500,10.0
500,579,20.66
501,502,4.41
501,534,13.41
502,502,2.83
502,535,9.06
504,520,7.83
506,518,2.83
507,508,5.16
507,557,14.84
508,531,4.41
509,527,4.24
510,523,4.24
510,541,13.91
511,542,6.83
512,549,11.54
512,550,8.24
513,547,9.43
514,533,11.23
515,523,10.65
515,529,4.0
516,541,11.39
516,524,5.24
518,537,6.16
520,528,11.16
520,532,8.71
520,563,6.36
521,533,5.06
521,539,4.83
522,544,4.24
522,530,3.24
523,540,4.24
524,524,2.0
524,548,9.49
525,525,4.47
525,530,12.23
525,565,12.78
526,536,4.83
527,531,5.0
527,558,10.63
528,528,4.47
529,552,7.81
529,553,5.66
531,557,8.1
532,558,9.41
533,539,5.0
533,599,13.43
534,535,8.64
534,580,9.41
534,534,8.0
534,590,12.28
534,595,7.4
534,610,11.34
535,546,5.0
535,566,5.89
536,537,17.07
537,569,9.24
539,552,8.89
540,553,5.83
540,541,11.0
540,568,7.0
541,568,10.24
541,578,7.66
541,600,9.21
542,548,7.02
542,564,5.58
543,544,2.0
543,573,8.41
544,594,19.28
546,554,8.3
546,566,4.41
547,547,4.47
547,586,17.09
548,578,15.19
548,564,9.7
548,589,8.7
549,569,13.06
549,550,10.95
550,561,5.61
551,561,10.02
551,582,9.24
552,553,7.73
552,576,7.73
553,577,6.4
554,574,8.85
554,581,5.65
557,572,6.36
557,606,9.16
557,598,6.83
557,597,11.1
558,572,6.0
558,593,11.78
558,619,12.66
558,614,9.5
560,565,3.41
560,579,6.83
561,561,5.66
561,592,6.12
563,587,11.82
563,593,8.24
564,583,7.66
564,602,9.3
565,603,11.3
